epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3317,3.06589,1.8135,0.76752,3.21703,2.3799,0.64611,0.70472,0.71508,0.16483,0.66747,0.7193,0.79086,0.5039,2.46209,1.38504,0.7311,1.43396,1.98899,0.00014,0.00014,0.00014
2,23.4558,2.17425,1.49308,0.70627,1.74154,1.67649,0.97958,0.84149,0.95695,0.27592,0.97958,0.84149,0.96069,0.66114,2.19715,1.32513,0.72757,1.71873,1.59214,0.00029802,0.00029802,0.00029802
3,34.5551,1.89943,0.95472,0.65233,1.35289,1.49804,0.91545,0.94737,0.9747,0.34128,0.91483,0.94737,0.97702,0.697,1.88505,1.35547,0.72192,3.12221,1.46938,0.000453928,0.000453928,0.000453928
4,45.5317,1.6573,0.82012,0.61865,1.22605,1.43431,0.62436,0.84568,0.72258,0.22994,0.78442,0.98246,0.95667,0.7372,1.78213,1.34012,0.69774,3.59205,1.4916,0.000607724,0.000607724,0.000607724
5,56.6296,1.66719,0.88145,0.57401,1.22533,1.33137,0.8988,0.92982,0.95076,0.42161,0.8988,0.92982,0.95076,0.68916,1.69866,1.22517,0.67398,1.40852,1.38547,0.000759408,0.000759408,0.000759408
6,67.6587,1.43382,0.69365,0.52569,1.17706,1.33495,0.53163,0.64912,0.49185,0.12033,0.93439,0.99939,0.99018,0.73278,2.41103,1.22931,0.62255,3.13305,2.17669,0.00090898,0.00090898,0.00090898
7,78.6224,1.64747,0.82711,0.48499,1.15065,1.3787,0.90538,1,0.98125,0.40713,0.90538,1,0.98125,0.73759,1.73061,1.0863,0.57097,1.71103,1.49792,0.00105644,0.00105644,0.00105644
8,89.6194,1.44597,0.71277,0.46811,1.22684,1.29373,0.80047,0.98536,0.93375,0.37422,0.80047,0.98536,0.93375,0.7154,1.70528,1.05461,0.53599,1.64898,1.46219,0.00120179,0.00120179,0.00120179
9,100.706,1.39203,0.69117,0.41667,1.18545,1.26721,0.9568,1,0.98382,0.29736,0.9568,1,0.98382,0.77384,1.94472,0.99651,0.42994,1.85673,1.7488,0.00134502,0.00134502,0.00134502
10,111.764,1.33171,0.68224,0.38801,1.03103,1.22872,1,0.99654,0.995,0.41219,1,0.99654,0.995,0.77166,1.7809,0.95667,0.38158,1.33729,1.53904,0.00148615,0.00148615,0.00148615
11,122.738,1.35065,0.61576,0.35086,0.94794,1.25401,0.96053,0.96491,0.95733,0.3158,0.99557,1,0.995,0.77013,2.15985,0.90237,0.317,1.52448,1.87356,0.00162516,0.00162516,0.00162516
12,133.889,1.40338,0.61885,0.32567,0.93976,1.22273,0.99616,1,0.995,0.51132,0.99616,1,0.995,0.77166,1.56745,0.8721,0.28278,1.0774,1.32553,0.00176206,0.00176206,0.00176206
13,145.112,1.50166,0.71216,0.28874,1.00181,1.28602,0.93084,1,0.97153,0.49993,0.93084,1,0.9717,0.74745,1.57349,0.91819,0.20634,0.8929,1.34922,0.0018416,0.0018416,0.0018416
14,156.226,1.47847,0.6424,0.28218,1.0336,1.31239,0.99462,1,0.995,0.49892,0.99462,1,0.995,0.75064,1.69982,0.91706,0.13498,1.07885,1.42124,0.0018284,0.0018284,0.0018284
15,167.308,1.36636,0.60248,0.2406,0.95159,1.26435,0.97826,0.98246,0.97502,0.41535,0.99573,1,0.995,0.75806,1.84728,0.91609,0.09912,1.01446,1.5122,0.0018152,0.0018152,0.0018152
16,178.598,1.35869,0.66034,0.22747,0.96681,1.18875,1,0.99138,0.995,0.53508,1,0.99138,0.995,0.76376,1.54919,0.90219,0.07401,0.90918,1.28598,0.001802,0.001802,0.001802
17,189.688,1.29175,0.61683,0.18942,0.96904,1.19701,0.96824,0.96491,0.98558,0.43737,0.96824,0.96491,0.98558,0.7504,1.70781,0.89046,0.05324,1.04024,1.44616,0.0017888,0.0017888,0.0017888
18,200.798,1.29838,0.58048,0.19202,0.98201,1.21205,0.86593,0.84211,0.86122,0.23577,1,0.97973,0.99338,0.74482,2.15035,0.87627,0.0447,1.55197,1.91101,0.0017756,0.0017756,0.0017756
19,211.972,1.46051,0.64252,0.20663,1.03677,1.25739,0.90173,0.87719,0.88682,0.26809,0.97708,0.98246,0.99246,0.75798,2.03881,0.85533,0.04146,1.4053,1.77447,0.0017624,0.0017624,0.0017624
20,223.127,1.36674,0.59968,0.21245,1.04005,1.23573,0.98197,0.95551,0.9872,0.48183,0.98034,0.96491,0.99085,0.78953,1.59866,0.81791,0.0381,0.92722,1.35337,0.0017492,0.0017492,0.0017492
